Entreupeneur Profile,2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Ceo,Parent Company,About,Net Worth Requirement,Liquid Cash Requirement,Initial Franchise Fee,Financing Options,Veteran Incentives,Previous Ranks,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
https://www.entrepreneur.com/franchises/pizzahutllc/282696,11,Pizza Hut LLC,"Pizza, pasta, wings",#11 Franchise 500,"$297,000 ","$2,144,000 ",+4.1% +638 UNITS,+8.0% +1248 UNITS,1958,1959 (57 Years),"7100 Corporate Dr. Plano, TX 75024",Artie Starrs,Yum! Brands Inc.,"Pizza Hut LLC;Pizza Hut began with two brothers, Frank and Dan Carney, borrowing $600 from their mom to start a pizzeria in Wichita, Kansas. The first Pizza Hut opened its doors in 1958. The first franchised location opened in 1960 in Topeka, Kansas.;Today, Pizza Hut has locations throughout the world serving pizza, pasta and wings. Pizza Hut is owned by Yum! Brands, parent company of KFC and Taco Bell.","$700,000 ","$350,000 ","$25,000 ",,,,4,15,worldwide,Training Onsite: varies;Training at headquarters: varies;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media
https://www.entrepreneur.com/franchises/hardees/305068,12,Hardee's,"Burgers, chicken, biscuits",#12 Franchise 500,"$1,426,500 ","$1,949,000 ",+4.4% +91 UNITS,+6.0% +126 UNITS,1961,1962 (54 Years),"100 N. Broadway, #1200 St. Louis, MO 63102",Andrew Puzder,CKE Restaurants Holdings Inc.,"Hardee's;Wilber Hardee opened his first restaurant in Greenville, North Carolina, in 1960, and just five months later he had his first franchisee. Hardee's restaurants, which serve biscuits, burgers and chicken, have since spread throughout the Midwestern and Southeastern U.S.;In 1997, Hardee's was acquired by California-based CKE Restaurants Inc., franchisor of Carl's Jr. Restaurants.","$1,000,000 ","$300,000 ","$25,000 - $35,000","Hardee's has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory, accounts receivable, payroll",50% off franchise fee,,11,62,worldwide,Training Onsite: 10 weeks;Training at headquarters: 1 week;Additional Training: 8 weeks management training & at grand opening;Ongoing Support;Newsletter;Meetings;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed
https://www.entrepreneur.com/franchises/jackinthebox/331052,13,Jack in the Box,Burgers,#13 Franchise 500,"$1,328,650 ","$2,427,250 ",,,1951,1982 (34 Years),"9330 Balboa Ave. San Diego, CA 92123",Lenny Comma,,"Jack in the Box;In 1951, Robert O. Peterson opened a drive-thru burger restaurant with a large jack-in-the-box clown on the roof in San Diego. The company began expanding outside of California in 1960, and began franchising in 1982. Still based in San Diego, Jack in the Box's menu now features a wide variety in addition to hamburgers, including chicken sandwiches, breakfast, tacos, salads, shakes and sides.;In 2003, Jack in the Box acquired fast-casual franchise Qdoba Mexican Grill.","$1,500,000 ","$750,000 ","$50,000 ","Jack in the Box has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory",,2015 - 4;2016 - 13;* Not all years were ranked,,,in the following regions/states;See List,Training at headquarters: 50 days;Ongoing Support;Purchasing Co-ops;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Regional Media;National Media
https://www.entrepreneur.com/franchises/acehardwarecorp/324961,14,Ace Hardware Corp.,Hardware and home-improvement stores,#14 Franchise 500,"$272,500 ","$1,561,500 ",,+1.8% +87 UNITS,1924,1976 (40 Years),"2200 Kensington Ct. Oak Brook, IL 60523",John Venhuizen,,"Ace Hardware Corp.;Ace Hardware's history begins in 1924, when four hardware store owners, Richard Hesse, E. Gunnard Lindquist, Franke Burke and Oscar Fisher, joined together to buy merchandise in bulk in order to maximize their profits and compete effectively with larger stores. Today the cooperative has grown to include thousands of stores in seven countries, each offering a variety of home improvement merchandise, including Ace's own exclusive line of products.","$400,000 ","$250,000 ","$5,000 ","Ace Hardware Corp. has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory, accounts receivable, payroll",Franchise fee waived,,6,37,worldwide,Training Onsite: 2 weeks+;Training at headquarters: 1 week+;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 15 - 25
https://www.entrepreneur.com/franchises/gncfranchising/282377,15,GNC Franchising,Vitamins and nutrition products,#15 Franchise 500,"$192,117 ","$354,217 ",+1.9% +127 UNITS,+8.7% +588 UNITS,1935,1988 (28 Years),"300 6th Ave., 4th Fl. Pittsburgh, PA 15222",Bob Moran,General Nutrition Inc.,"GNC Franchising;In 1935, David Shakarian started a health-food store in Pittsburgh called Lackzoom. It specialized in yogurt (which his father had helped introduce to the U.S.), but also carried health-food products such as honey and grains. Beginning with $35 in receipts his first day, Shakarian expanded to six Pittsburgh-area stores in five years.;As more people became interested in natural foods and better nutrition, Shakarian opened stores in other states and changed the company's name to General Nutrition Centers (GNC). GNC also began producing its own vitamin and mineral supplements, foods, drinks and cosmetics. They started franchising in 1988. With company and franchised stores throughout the U.S. and worldwide, GNC now focuses on vitamins and nutritional supplements.","$100,000 ","$100,000 ","$40,000 ",GNC Franchising offers in-house financing to cover the following: accounts receivable,50% off first-store franchise fee,,15,68,worldwide,Training Onsite: 5 days;Training at headquarters: 5 days;Additional Training: At corporate store;Ongoing Support;Newsletter;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Ad Slicks;Regional Media;Number of employees required to run: 3 - 4
https://www.entrepreneur.com/franchises/sportclips/282819,16,Sport Clips,Men's sports-themed hair salons,#16 Franchise 500,"$183,300 ","$351,500 ",+7.5% +105 UNITS,+14.1% +198 UNITS,1993,1995 (21 Years),"110 Briarwood Dr. Georgetown, TX 78628",Gordon Logan,,"Sport Clips;Gordon Logan, president of Sport Clips, conceived the Sport Clips idea in 1993 and opened its first franchised store in Houston two years later. Designed to target a previously underserved market, Sport Clips caters to men and boys by providing hassle-free hairstyling in a sports-themed environment. The company began franchising in 1995.","$400,000 ","$200,000 ","$25,000 - $59,500","Sport Clips has relationships with third-party sources which offer financing to cover the following;startup costs, equipment, inventory, accounts receivable",20% off franchise fee,,16,160,,Training Onsite: 8 days;Training at headquarters: 5 days;Additional Training: At existing locations;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 8 - 14
https://www.entrepreneur.com/franchises/theupsstore/282553,17,The UPS Store,"Postal, business, printing, and communications services",#17 Franchise 500,"$159,224 ","$434,521 ",+1.4% +69 UNITS,+1.8% +86 UNITS,1980,1980 (36 Years),"6060 Cornerstone Ct. W. San Diego, CA 92121",Tim Davis,,"The UPS Store;The first Mail Boxes Etc. store was opened in Carlsbad, California by Gerald Aul, Pat Senn and Robert Diaz, who designed it as an alternative to the U.S. Postal Service. In 2001, Mail Boxes Etc. became a subsidiary of UPS and began re-branding as The UPS Store in 2003. The UPS Store locations provide packaging, shipping, copy and print services, mailbox services, computer time rentals and more for small businesses and individuals. Franchises are located throughout the United States and in Canada.","$150,000 ","$60,000 - $100,000","$29,950 ","The UPS Store offers in-house financing to cover the following: startup costs, equipment, inventory","$10,000 off franchise fee & 50% off initial application fee",,4,46,throughout the U.S.,Training at headquarters: 9 days;Additional Training: Ongoing support;Ongoing Support;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 3 - 5
https://www.entrepreneur.com/franchises/tacobell/282858,18,Taco Bell,Mexican food,#18 Franchise 500,"$1,177,300 ","$2,620,600 ",+4.2% +268 UNITS,+5.4% +341 UNITS,1962,1964 (52 Years),"1 Glen Bell Wy. Irvine, CA 92618",Brian Niccol,Yum! Brands Inc.,"Taco Bell;After leaving the Marine Corps at 23, Glen Bell came home to San Bernardino, California and opened a hot dog stand. But his real interest was in alternative menu items, so he began selling tacos for 19 cents from a side window of the hot dog stand. When the tacos proved as popular as he had hoped, he started opening Taco Tia stands where tacos were the stars of the menu. In 1962, Bell sold the Taco Tia brand to his partners and opened the first Taco Bell in Downey, California. Franchising began two years later.;Today, Taco Bell is a subsidiary of Yum! Brands Inc., which also franchises KFC and Pizza Hut. There are Taco Bell locations throughout the United States and the world.","$1,500,000 ","$750,000 ","$45,000 ","Taco Bell has relationships with third-party sources which offer financing to cover the following;startup costs, equipment",,2006 - 35;2008 - 22;2009 - 20;2010 - 45;2012 - 20;2014 - 20;2015 - 19;2016 - 18;* Not all years were ranked,,,worldwide,Training at headquarters: varies;Additional Training: Additional training available;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media
https://www.entrepreneur.com/franchises/papamurphys/282616,19,Papa Murphy's,Take-and-bake pizza,#19 Franchise 500,"$279,455 ","$492,861 ",+3.8% +56 UNITS,+8.0% +119 UNITS,1981,1982 (34 Years),"8000 N.E. Parkway Dr., #350 Vancouver, WA 98662",Ken Calwell,,"Papa Murphy's;Hillsboro, Oregon-based pizza chain Papa Aldo's and Petaluma, California-based chain Murphy's Pizza were both acquired by Terry Collins, who merged them into one brand in 1995: Papa Murphy's.;Papa Murphy's stores make pizzas for customers to take home and bake themselves. Side items such as cookie dough, cheesy bread and salads are also offered.","$275,000 ","$80,000 ","$25,000 ","Papa Murphy's has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory",Discounted royalty fee,,19,59,internationally,Training at headquarters: 28 days;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;National Media;Number of employees required to run: 11 - 12
https://www.entrepreneur.com/franchises/aarons/282061,20,Aaron's,"Furniture, electronics, computer, and appliance leasing and sales",#20 Franchise 500,"$283,270 ","$852,820 ",,,1955,1992 (24 Years),"400 Galleria Pkwy. S.E., #300 Atlanta, GA 30339",John Robinson,Aaron's Inc,"Aaron's;Aaron's offers furnishings such as big screen televisions, couches and refrigerators for rental or purchase at its stores across North America.;R. Charles Loudermilk Sr. began the business in 1955, renting folding chairs he had purchased from an army surplus store for 10 cents a day. Aaron's Rents began franchising in 1992.","$550,000 ","$450,000 ","$15,000 - $50,000",Aaron's has relationships with third-party sources which offer financing to cover the following;inventory,,,15,58,,Training Onsite: ongoing;Training at headquarters: 10 days;Additional Training: At regional locations;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 6 - 10
https://www.entrepreneur.com/franchises/remaxllc/282746,21,RE/MAX LLC,Real estate,#21 Franchise 500,"$37,500 ","$224,000 ",+3.1% +214 UNITS,+8.4% +588 UNITS,1973,1975 (41 Years),"5075 S. Syracuse St. Denver, CO 80237-2712",Dave Liniger,RE/MAX LLC,"RE/MAX LLC;Founded by Dave and Gail Liniger in Denver in 1973, RE/MAX is now a global network of more than 97,000 real estate agents in over 95 countries. The Linigers introduced an agent-centric model with high commission splits. In the RE/MAX system, agents are in charge of their own business, share office expenses and operate under a high commission concept.",,"$35,000 ","$15,000 - $37,500",RE/MAX LLC offers in-house financing to cover the following: franchise fee,,,8,359,worldwide,Training at headquarters: 4.5 days annually;Additional Training: Online and classroom training available on-demand;Ongoing Support;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;National Media;Absentee Ownership Allowed;Number of employees required to run: 2
https://www.entrepreneur.com/franchises/snapontools/282805,22,Snap-on Tools,Professional tools and equipment,#22 Franchise 500,"$166,847 ","$319,547 ",+0.3% +13 UNITS,+0.5% +24 UNITS,1920,1991 (25 Years),"2801 80th St. Kenosha, WI 53143",Nick Pinchuk,Snap-on Inc.,"Snap-on Tools;In 1920, a particular wrench could only do one particular job, but Joseph Johnson had an idea to change that. Along with William Seidemann, he began manufacturing ten different sockets that would ""snap on"" to five interchangeable wrench handles, so that one tool could do the work of five. The Snap-on Wrench Company's representatives sold these new products by taking them to the customers at their places of business and demonstrating their use.;Today, Snap-on Tools franchisees sell far more than just wrenches. They offer over 22,000 products, including hand tools, power tools, diagnostic tools, tool storage and shop equipment, but the way they sell is much the same. Once a week they bring their ""mobile stores""--trucks filled with their products--directly to their customers, which include car dealerships, mechanics, marinas and airports.","$30,000 ","$33,019 - $50,183","$7,500 - $15,000","Snap-on Tools offers in-house financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable","$20,000 off startup inventory",,22,61,,Training Onsite: 135 hours;Training at headquarters: 57 hours;Additional Training: At branch & regional centers;Ongoing Support;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Field Operations;Marketing Support;Regional Media;National Media
https://www.entrepreneur.com/franchises/jiffylubeintlinc/282479,23,Jiffy Lube Int'l. Inc.,"Oil changes, light repairs",#23 Franchise 500,"$219,000 ","$400,000 ",,,1979,1979 (37 Years),"P.O. Box 4427 Houston, TX 77210-4427",Steve Ledbetter,Shell Oil Co.,"Jiffy Lube Int'l. Inc.;The decline of full-service gas stations in the 1970s left many consumers without their traditional sources for oil changes. Jiffy Lube began under Jim Hindman in 1979 as an association of seven fast-lube centers in the Western United States. Jiffy Lube Int'l. Inc. was acquired by Pennzoil-Quaker State Co. in the 1990s, which was then acquired by Shell Oil Company in 2002. Jiffy Lube has franchised locations throughout the U.S. and Canada.","$450,000 ","$150,000 ",,"Jiffy Lube Int'l. Inc. has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment",Franchise fee waived,,3,37,,Training Onsite: 5 days;Training at headquarters: 1-2 days;Additional Training: Additional training available;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 10
